Loan Date Quarter,BorrowerState,LoanAmount
2007-Q1,TX,1383997
2007-Q1,UT,363964
2007-Q1,VA,157397
2007-Q1,VT,14000
2007-Q1,WA,623673
2007-Q1,WI,150974
2007-Q1,WV,56300
2007-Q1,WY,11200
2007-Q2,AK,30800
2007-Q2,AL,325075
2007-Q2,AR,4700
2007-Q2,AZ,510100
2007-Q2,CA,3685326
2007-Q2,CO,335165
2007-Q2,CT,32499
2007-Q2,DE,7575
2007-Q2,FL,751638
2007-Q2,GA,1503319
2007-Q2,HI,74500
2007-Q2,IA,93100
2007-Q2,ID,113000
2007-Q2,IL,1371064
2007-Q2,IN,289450
2007-Q2,KS,82125
2007-Q2,KY,91503
2007-Q2,LA,20950
2007-Q2,MA,345405
2007-Q2,MD,697184
2007-Q2,ME,33100
2007-Q2,MI,611025
2007-Q2,MN,565649
2007-Q2,MO,532830
2007-Q2,MS,53850
2007-Q2,MT,82900
2007-Q2,NC,347288
2007-Q2,NE,57700
2007-Q2,NH,123002
2007-Q2,NJ,124500
2007-Q2,NM,108313
2007-Q2,NY,423047
2007-Q2,OH,880684
2007-Q2,OK,142585
2007-Q2,OR,419689
2007-Q2,PA,1000
2007-Q2,SC,7000
2007-Q2,TN,7600
2007-Q2,TX,246525
2007-Q2,UT,329770
2007-Q2,VA,143349
2007-Q2,VT,16000
2007-Q2,WA,700579
2007-Q2,WI,116600
2007-Q2,WV,22360
2007-Q2,WY,31750
2007-Q3,AK,50000
2007-Q3,AL,304905
2007-Q3,AR,1000
2007-Q3,AZ,456674
2007-Q3,CA,3840614
2007-Q3,CO,398360
2007-Q3,CT,57961
2007-Q3,DE,10000
2007-Q3,FL,975239
2007-Q3,GA,1824585
2007-Q3,HI,49200
2007-Q3,IA,207199
2007-Q3,ID,113542
2007-Q3,IL,1322923
2007-Q3,IN,348429
2007-Q3,KS,88175
2007-Q3,KY,115202
2007-Q3,LA,67499
2007-Q3,MA,356123
2007-Q3,MD,772393
2007-Q3,ME,83900
2007-Q3,MI,769024
2007-Q3,MN,489237
2007-Q3,MO,365513
2007-Q3,MS,79600
2007-Q3,MT,93634
2007-Q3,NC,352650
2007-Q3,ND,40475
2007-Q3,NE,92750
2007-Q3,NH,121051
2007-Q3,NJ,294873
2007-Q3,NM,124103
2007-Q3,NY,535297
2007-Q3,OH,665125
2007-Q3,OK,130750
2007-Q3,OR,575949
2007-Q3,SC,48100
2007-Q3,TN,52400
2007-Q3,TX,561961
2007-Q3,UT,362775
2007-Q3,VA,153850
2007-Q3,VT,10000
2007-Q3,WA,609199
2007-Q3,WI,203260
2007-Q3,WV,15000
2007-Q3,WY,9500
2007-Q4,AK,32674
2007-Q4,AL,313674
2007-Q4,AR,6000
