Loan Date Quarter,BorrowerState,LoanAmount
2012-Q1,IN,807200
2012-Q1,KS,376175
2012-Q1,KY,431237
2012-Q1,LA,421191
2012-Q1,MA,836646
2012-Q1,MD,1012730
2012-Q1,MI,1045685
2012-Q1,MN,725000
2012-Q1,MO,861500
2012-Q1,MS,298935
2012-Q1,MT,99100
2012-Q1,NC,1098061
2012-Q1,NE,242489
2012-Q1,NH,238801
2012-Q1,NJ,1301300
2012-Q1,NM,141200
2012-Q1,NV,311164
2012-Q1,NY,2983434
2012-Q1,OH,1483188
2012-Q1,OK,295500
2012-Q1,OR,456631
2012-Q1,PA,1120989
2012-Q1,RI,191500
2012-Q1,SC,417718
2012-Q1,SD,65500
2012-Q1,TN,888000
2012-Q1,TX,1991792
2012-Q1,UT,345700
2012-Q1,VA,1338064
2012-Q1,VT,36000
2012-Q1,WA,907495
2012-Q1,WI,762950
2012-Q1,WV,136400
2012-Q1,WY,25200
2012-Q2,AK,37000
2012-Q2,AL,611105
2012-Q2,AR,410190
2012-Q2,AZ,568092
2012-Q2,CA,5273307
2012-Q2,CO,835539
2012-Q2,CT,764648
2012-Q2,DC,275700
2012-Q2,DE,76700
2012-Q2,FL,2979099
2012-Q2,GA,2144758
2012-Q2,HI,139400
2012-Q2,ID,190300
2012-Q2,IL,2312310
2012-Q2,IN,831825
2012-Q2,KS,499850
2012-Q2,KY,640500
2012-Q2,LA,417250
2012-Q2,MA,1036954
2012-Q2,MD,1473049
2012-Q2,MI,1464124
2012-Q2,MN,854072
2012-Q2,MO,812582
2012-Q2,MS,374100
2012-Q2,MT,113000
2012-Q2,NC,1371245
2012-Q2,NE,169800
2012-Q2,NH,246450
2012-Q2,NJ,1547850
2012-Q2,NM,130500
2012-Q2,NV,393500
2012-Q2,NY,3381663
2012-Q2,OH,1730629
2012-Q2,OK,379644
2012-Q2,OR,635900
2012-Q2,PA,1520450
2012-Q2,RI,159008
2012-Q2,SC,594425
2012-Q2,SD,95700
2012-Q2,TN,832083
2012-Q2,TX,2877063
2012-Q2,UT,148800
2012-Q2,VA,1513165
2012-Q2,VT,104500
2012-Q2,WA,1056845
2012-Q2,WI,785989
2012-Q2,WV,204300
2012-Q2,WY,59500
2012-Q3,AK,51400
2012-Q3,AL,437039
2012-Q3,AR,221739
2012-Q3,AZ,640447
2012-Q3,CA,4441728
2012-Q3,CO,938248
2012-Q3,CT,683105
2012-Q3,DC,199074
2012-Q3,DE,130242
2012-Q3,FL,2329560
2012-Q3,GA,1456747
2012-Q3,HI,97000
2012-Q3,ID,91300
2012-Q3,IL,1980044
2012-Q3,IN,641839
2012-Q3,KS,401848
2012-Q3,KY,465122
2012-Q3,LA,439811
2012-Q3,MA,904466
2012-Q3,MD,974182
2012-Q3,MI,1170776
2012-Q3,MN,739020
2012-Q3,MO,698021
2012-Q3,MS,278100
2012-Q3,MT,61523
2012-Q3,NC,1231443
2012-Q3,NE,260644
2012-Q3,NH,181881
2012-Q3,NJ,1217031
2012-Q3,NM,120700
2012-Q3,NV,311909
2012-Q3,NY,2690646
2012-Q3,OH,1402322
2012-Q3,OK,407017
2012-Q3,OR,558950
2012-Q3,PA,958653
2012-Q3,RI,191913
2012-Q3,SC,411236
2012-Q3,SD,97000
2012-Q3,TN,714955
2012-Q3,TX,2501107
2012-Q3,UT,112500
2012-Q3,VA,1120133
2012-Q3,VT,98438
2012-Q3,WA,1069316
2012-Q3,WI,717782
2012-Q3,WV,117232
2012-Q3,WY,61728
2012-Q4,AK,67500
2012-Q4,AL,458461
2012-Q4,AR,166303
2012-Q4,AZ,386091
2012-Q4,CA,4672267
2012-Q4,CO,789700
2012-Q4,CT,784528
2012-Q4,DC,191515
2012-Q4,DE,56500
2012-Q4,FL,2259056
2012-Q4,GA,1324001
2012-Q4,HI,147500
2012-Q4,ID,112000
2012-Q4,IL,1613054
2012-Q4,IN,600687
2012-Q4,KS,235500
2012-Q4,KY,261126
2012-Q4,LA,334167
2012-Q4,MA,867152
2012-Q4,MD,599509
2012-Q4,MI,977499
2012-Q4,MN,597970
2012-Q4,MO,808998
2012-Q4,MS,246309
2012-Q4,MT,73500
2012-Q4,NC,883933
2012-Q4,NE,191000
2012-Q4,NH,143133
2012-Q4,NJ,1224783
2012-Q4,NM,118500
2012-Q4,NV,546449
2012-Q4,NY,2408614
2012-Q4,OH,1339584
2012-Q4,OK,353753
2012-Q4,OR,369264
2012-Q4,PA,832090
2012-Q4,RI,191800
2012-Q4,SC,536820
2012-Q4,SD,48500
2012-Q4,TN,548217
2012-Q4,TX,2280725
2012-Q4,UT,198590
2012-Q4,VA,1282582
2012-Q4,VT,76500
2012-Q4,WA,766335
2012-Q4,WI,677908
2012-Q4,WV,174800
2012-Q4,WY,117736
2013-Q1,AK,158000
2013-Q1,AL,933250
2013-Q1,AR,584400
2013-Q1,AZ,1330977
2013-Q1,CA,9563476
2013-Q1,CO,1274940
2013-Q1,CT,1434474
2013-Q1,DC,172500
2013-Q1,DE,325500
2013-Q1,FL,3889139
2013-Q1,GA,2565442
2013-Q1,HI,360700
2013-Q1,ID,369879
2013-Q1,IL,3733015
2013-Q1,IN,1345900
2013-Q1,KS,622100
2013-Q1,KY,695400
2013-Q1,LA,655495
2013-Q1,MA,1897651
2013-Q1,MD,1817875
2013-Q1,MI,2124049
2013-Q1,MN,1442845
2013-Q1,MO,1463400
2013-Q1,MS,709900
2013-Q1,MT,175000
2013-Q1,NC,1599525
2013-Q1,NE,521025
2013-Q1,NH,501500
2013-Q1,NJ,2671546
2013-Q1,NM,361399
2013-Q1,NV,1075207
2013-Q1,NY,5211617
2013-Q1,OH,2738032
2013-Q1,OK,595250
2013-Q1,OR,955651
2013-Q1,PA,2450169
2013-Q1,RI,277692
2013-Q1,SC,684000
2013-Q1,SD,120500
2013-Q1,TN,1071520
2013-Q1,TX,5456435
2013-Q1,UT,628257
2013-Q1,VA,2511639
2013-Q1,VT,149500
2013-Q1,WA,1985643
2013-Q1,WI,1267163
2013-Q1,WV,201561
2013-Q1,WY,97000
2013-Q2,AK,185000
2013-Q2,AL,1288100
2013-Q2,AR,833350
2013-Q2,AZ,1357800
2013-Q2,CA,13287500
2013-Q2,CO,1752042
2013-Q2,CT,2109750
2013-Q2,DC,473300
2013-Q2,DE,272500
2013-Q2,FL,5241360
2013-Q2,GA,3073262
2013-Q2,HI,328000
2013-Q2,ID,290000
2013-Q2,IL,5209632
2013-Q2,IN,1585250
2013-Q2,KS,1141500
2013-Q2,KY,832426
2013-Q2,LA,992400
2013-Q2,MA,2544463
2013-Q2,MD,3092150
2013-Q2,MI,2881315
2013-Q2,MN,1898890
2013-Q2,MO,1640074
2013-Q2,MS,674649
2013-Q2,MT,247700
2013-Q2,NC,2344654
2013-Q2,NE,527000
2013-Q2,NH,429800
2013-Q2,NJ,3851701
2013-Q2,NM,248000
2013-Q2,NV,1221733
2013-Q2,NY,6731795
2013-Q2,OH,3312202
2013-Q2,OK,831450
2013-Q2,OR,1157500
2013-Q2,PA,2773400
2013-Q2,RI,452600
2013-Q2,SC,975401
2013-Q2,SD,172000
2013-Q2,TN,1644143
2013-Q2,TX,7497101
2013-Q2,UT,464500
2013-Q2,VA,2943912
2013-Q2,VT,194000
2013-Q2,WA,2158350
2013-Q2,WI,1557076
2013-Q2,WV,391500
2013-Q2,WY,198900
2013-Q3,AK,300000
2013-Q3,AL,2110045
2013-Q3,AR,1413400
2013-Q3,AZ,2546645
2013-Q3,CA,22455230
2013-Q3,CO,3521124
2013-Q3,CT,2611855
2013-Q3,DC,553000
2013-Q3,DE,420500
2013-Q3,FL,9154736
2013-Q3,GA,5889125
2013-Q3,HI,887480
2013-Q3,ID,785000
2013-Q3,IL,7953349
2013-Q3,IN,2903480
2013-Q3,KS,1780134
2013-Q3,KY,1833306
2013-Q3,LA,1475100
2013-Q3,MA,3530289
2013-Q3,MD,4035298
2013-Q3,MI,4278350
2013-Q3,MN,2647712
2013-Q3,MO,2591211
2013-Q3,MS,1234169
2013-Q3,MT,430500
2013-Q3,NC,3899841
2013-Q3,NE,1043500
2013-Q3,NH,920400
2013-Q3,NJ,5907102
2013-Q3,NM,770000
2013-Q3,NV,2086925
2013-Q3,NY,11626106
2013-Q3,OH,6257646
2013-Q3,OK,1131100
2013-Q3,OR,2301920
2013-Q3,PA,5284021
2013-Q3,RI,936550
2013-Q3,SC,1915198
2013-Q3,SD,260200
2013-Q3,TN,2220836
2013-Q3,TX,12538902
2013-Q3,UT,806153
2013-Q3,VA,5190958
2013-Q3,VT,384900
2013-Q3,WA,3508948
2013-Q3,WI,2999606
2013-Q3,WV,620900
2013-Q3,WY,186750
2013-Q4,AK,436640
2013-Q4,AL,1787642
2013-Q4,AR,1339625
2013-Q4,AZ,2580958
2013-Q4,CA,20060190
2013-Q4,CO,3034693
2013-Q4,CT,2517600
2013-Q4,DC,572872
2013-Q4,DE,568810
2013-Q4,FL,8103540
2013-Q4,GA,5318325
2013-Q4,HI,639700
2013-Q4,ID,733800
2013-Q4,IL,6754023
2013-Q4,IN,2414900
2013-Q4,KS,1533985
2013-Q4,KY,1303258
2013-Q4,LA,1405256
2013-Q4,MA,3684101
2013-Q4,MD,3856324
2013-Q4,MI,4203482
2013-Q4,MN,2781834
2013-Q4,MO,2482484
2013-Q4,MS,1130656
2013-Q4,MT,289792
2013-Q4,NC,3849435
2013-Q4,NE,1123892
2013-Q4,NH,909600
2013-Q4,NJ,5228769
2013-Q4,NM,866075
2013-Q4,NV,1838216
2013-Q4,NY,9805577
2013-Q4,OH,5735817
2013-Q4,OK,1339394
2013-Q4,OR,1578821
2013-Q4,PA,4659771
2013-Q4,RI,687065
2013-Q4,SC,1414662
2013-Q4,SD,266629
2013-Q4,TN,2298304
2013-Q4,TX,11213244
2013-Q4,UT,932950
2013-Q4,VA,4741972
2013-Q4,VT,321858
2013-Q4,WA,3566900
2013-Q4,WI,2445126
2013-Q4,WV,431969
2013-Q4,WY,205000
