Loan Date Quarter,ProsperRating,BorrowerRate,BorrowerRate_median,BorrowerRate_025,BorrowerRate_975,BorrowerRate_min,BorrowerRate_max
2011-Q4,B,0.1449,0.1449,0.1,0.2005,0.0958,0.2151
2011-Q4,C,0.2049,0.2049,0.1434,0.2468,0.1259,0.2589
2011-Q4,D,0.2511,0.2511,0.1902,0.3027,0.1672,0.3027
2011-Q4,E,0.3058,0.3058,0.24978,0.3304,0.2443,0.3304
2011-Q4,HR,0.3177,0.3177,0.3127,0.3177,0.3127,0.3177
2012-Q1,A,0.127,0.127,0.0628,0.1551,0.0608,0.1551
2012-Q1,AA,0.0749,0.0749,0.0565,0.1085,0.0565,0.1085
2012-Q1,B,0.1768,0.1768,0.1224,0.2085,0.0958,0.2085
2012-Q1,C,0.2148,0.2148,0.1576,0.2489,0.1259,0.2489
2012-Q1,D,0.2499,0.2499,0.2287,0.287,0.1672,0.287
2012-Q1,E,0.2999,0.2999,0.2343,0.3304,0.2343,0.3304
2012-Q1,HR,0.3177,0.3177,0.3177,0.3177,0.3177,0.3177
2012-Q2,A,0.1199,0.1199,0.0801,0.1728,0.0628,0.1728
2012-Q2,AA,0.0839,0.0839,0.0565,0.1208,0.0565,0.1253
2012-Q2,B,0.1679,0.1679,0.1224,0.2124,0.101,0.2124
2012-Q2,C,0.2099,0.2099,0.1576,0.2498,0.1304,0.2515
2012-Q2,D,0.2524,0.2524,0.1897,0.287,0.1672,0.287
2012-Q2,E,0.2969,0.2969,0.2254,0.3304,0.2141,0.3304
2012-Q2,HR,0.3177,0.3177,0.3177,0.3177,0.3177,0.3177
2012-Q3,A,0.1223,0.1223,0.07962,0.1628,0.0735,0.1728
2012-Q3,AA,0.0839,0.0839,0.0615,0.1208,0.0565,0.1208
2012-Q3,B,0.1679,0.1679,0.1246,0.2038625,0.1033,0.2124
2012-Q3,C,0.2099,0.2099,0.1563,0.2498,0.1323,0.2498
2012-Q3,D,0.2489,0.2489,0.1933725,0.2827,0.173,0.2827
2012-Q3,E,0.2947,0.2947,0.232,0.3258,0.2127,0.3304
2012-Q3,HR,0.3177,0.3177,0.3177,0.3177,0.3134,0.3177
2012-Q4,A,0.1173,0.1173,0.0801,0.1564,0.0735,0.1628
2012-Q4,AA,0.0799,0.0799,0.0565,0.1101,0.0565,0.1101
2012-Q4,B,0.1579,0.1579,0.1109,0.2024,0.1033,0.2024
2012-Q4,C,0.2019,0.2019,0.1458,0.2398,0.1323,0.2448
2012-Q4,D,0.2432,0.2432,0.1863,0.2776,0.173,0.2827
2012-Q4,E,0.2786,0.2786,0.2127,0.3097,0.2127,0.3165
2012-Q4,HR,0.3134,0.3134,0.3134,0.3177,0.3134,0.3177
2013-Q1,A,0.1169,0.1169,0.09484,0.1334,0.0873,0.1334
2013-Q1,AA,0.0799,0.0799,0.0604,0.0869,0.0577,0.0869
2013-Q1,B,0.1579,0.1579,0.1359,0.1819,0.1109,0.1819
2013-Q1,C,0.2024,0.2024,0.1734,0.2284,0.1323,0.2319
2013-Q1,D,0.2432,0.2432,0.2199,0.2736,0.173,0.2736
2013-Q1,E,0.2809,0.2809,0.2639,0.3096,0.2127,0.3096
2013-Q1,HR,0.3134,0.3134,0.3134,0.3134,0.3079,0.3134
